Name,Hex,Code
Aliceblue,#F0F8FF,aliceblue
Antiquewhite,#FAEBD7,antiquewhite
Aqua,#00FFFF,aqua
Aquamarine,#7FFFD4,aquamarine
Azure,#F0FFFF,azure
Beige,#F5F5DC,beige
Bisque,#FFE4C4,bisque
Black,#000000,black
Blanchedalmond,#FFEBCD,blanchedalmond
Blue,#0000FF,blue
Blueviolet,#8A2BE2,blueviolet
Brown,#A52A2A,brown
Burlywood,#DEB887,burlywood
Cadetblue,#5F9EA0,cadetblue
Chartreuse,#7FFF00,chartreuse
Chocolate,#D2691E,chocolate
Coral,#FF7F50,coral
Cornflowerblue,#6495ED,cornflowerblue
Cornsilk,#FFF8DC,cornsilk
Crimson,#DC143C,crimson
Cyan,#00FFFF,cyan
Darkblue,#00008B,darkblue
Darkcyan,#008B8B,darkcyan
Darkgoldenrod,#B8860B,darkgoldenrod
Darkgray,#A9A9A9,darkgray
Darkgreen,#006400,darkgreen
Darkgrey,#A9A9A9,darkgrey
Darkkhaki,#BDB76B,darkkhaki
Darkmagenta,#8B008B,darkmagenta
Darkolivegreen,#556B2F,darkolivegreen
Darkorange,#FF8C00,darkorange
Darkorchid,#9932CC,darkorchid
Darkred,#8B0000,darkred
Darksalmon,#E9967A,darksalmon
Darkseagreen,#8FBC8F,darkseagreen
Darkslateblue,#483D8B,darkslateblue
Darkslategray,#2F4F4F,darkslategray
Darkslategrey,#2F4F4F,darkslategrey
Darkturquoise,#00CED1,darkturquoise
Darkviolet,#9400D3,darkviolet
Deeppink,#FF1493,deeppink
Deepskyblue,#00BFFF,deepskyblue
Dimgray,#696969,dimgray
Dimgrey,#696969,dimgrey
Dodgerblue,#1E90FF,dodgerblue
Firebrick,#B22222,firebrick
Floralwhite,#FFFAF0,floralwhite
Forestgreen,#228B22,forestgreen
Fuchsia,#FF00FF,fuchsia
Gainsboro,#DCDCDC,gainsboro
Ghostwhite,#F8F8FF,ghostwhite
Gold,#FFD700,gold
Goldenrod,#DAA520,goldenrod
Gray,#808080,gray
Green,#008000,green
Greenyellow,#ADFF2F,greenyellow
Grey,#808080,grey
Honeydew,#F0FFF0,honeydew
Hotpink,#FF69B4,hotpink
Indianred,#CD5C5C,indianred
Indigo,#4B0082,indigo
Ivory,#FFFFF0,ivory
Khaki,#F0E68C,khaki
Lavender,#E6E6FA,lavender
Lavenderblush,#FFF0F5,lavenderblush
Lawngreen,#7CFC00,lawngreen
Lemonchiffon,#FFFACD,lemonchiffon
Lightblue,#ADD8E6,lightblue
Lightcoral,#F08080,lightcoral
Lightcyan,#E0FFFF,lightcyan
Lightgoldenrodyellow,#FAFAD2,lightgoldenrodyellow
Lightgray,#D3D3D3,lightgray
Lightgreen,#90EE90,lightgreen
Lightgrey,#D3D3D3,lightgrey
Lightpink,#FFB6C1,lightpink
Lightsalmon,#FFA07A,lightsalmon
Lightseagreen,#20B2AA,lightseagreen
Lightskyblue,#87CEFA,lightskyblue
Lightslategray,#778899,lightslategray
Lightslategrey,#778899,lightslategrey
Lightsteelblue,#B0C4DE,lightsteelblue
Lightyellow,#FFFFE0,lightyellow
Lime,#00FF00,lime
Limegreen,#32CD32,limegreen
Linen,#FAF0E6,linen
Magenta,#FF00FF,magenta
Maroon,#800000,maroon
Mediumaquamarine,#66CDAA,mediumaquamarine
Mediumblue,#0000CD,mediumblue
Mediumorchid,#BA55D3,mediumorchid
Mediumpurple,#9370DB,mediumpurple
Mediumseagreen,#3CB371,mediumseagreen
Mediumslateblue,#7B68EE,mediumslateblue
Mediumspringgreen,#00FA9A,mediumspringgreen
Mediumturquoise,#48D1CC,mediumturquoise
Mediumvioletred,#C71585,mediumvioletred
Midnightblue,#191970,midnightblue
Mintcream,#F5FFFA,mintcream
Mistyrose,#FFE4E1,mistyrose
Moccasin,#FFE4B5,moccasin
Navajowhite,#FFDEAD,navajowhite
Navy,#000080,navy
Oldlace,#FDF5E6,oldlace
Olive,#808000,olive
Olivedrab,#6B8E23,olivedrab
Orange,#FFA500,orange
Orangered,#FF4500,orangered
Orchid,#DA70D6,orchid
Palegoldenrod,#EEE8AA,palegoldenrod
Palegreen,#98FB98,palegreen
Paleturquoise,#AFEEEE,paleturquoise
Palevioletred,#DB7093,palevioletred
Papayawhip,#FFEFD5,papayawhip
Peachpuff,#FFDAB9,peachpuff
Peru,#CD853F,peru
Pink,#FFC0CB,pink
Plum,#DDA0DD,plum
Powderblue,#B0E0E6,powderblue
Purple,#800080,purple
Rebeccapurple,#663399,rebeccapurple
Red,#FF0000,red
Rosybrown,#BC8F8F,rosybrown
Royalblue,#4169E1,royalblue
Saddlebrown,#8B4513,saddlebrown
Salmon,#FA8072,salmon
Sandybrown,#F4A460,sandybrown
Seagreen,#2E8B57,seagreen
Seashell,#FFF5EE,seashell
Sienna,#A0522D,sienna
Silver,#C0C0C0,silver
Skyblue,#87CEEB,skyblue
Slateblue,#6A5ACD,slateblue
Slategray,#708090,slategray
Slategrey,#708090,slategrey
Snow,#FFFAFA,snow
Springgreen,#00FF7F,springgreen
Steelblue,#4682B4,steelblue
Tan,#D2B48C,tan
Teal,#008080,teal
Thistle,#D8BFD8,thistle
Tomato,#FF6347,tomato
Turquoise,#40E0D0,turquoise
Violet,#EE82EE,violet
Wheat,#F5DEB3,wheat
White,#FFFFFF,white
Whitesmoke,#F5F5F5,whitesmoke
Yellow,#FFFF00,yellow
Yellowgreen,#9ACD32,yellowgreen
